BLEU: 18.39	self-BLEU: 25.68	iBLEU: 5.17	unc: 3.22
BLEU: 18.32	self-BLEU: 25.65	iBLEU: 5.13	unc: 3.14
BLEU: 18.40	self-BLEU: 25.67	iBLEU: 5.18	unc: 3.26
BLEU: 18.38	self-BLEU: 25.75	iBLEU: 5.14	unc: 3.27
BLEU: 18.35	self-BLEU: 25.67	iBLEU: 5.15	unc: 3.20
BLEU: 18.34	self-BLEU: 25.73	iBLEU: 5.12	unc: 3.28
BLEU: 18.40	self-BLEU: 25.69	iBLEU: 5.17	unc: 3.23
BLEU: 18.35	self-BLEU: 25.71	iBLEU: 5.14	unc: 3.20
BLEU: 18.42	self-BLEU: 25.69	iBLEU: 5.19	unc: 3.23
BLEU: 18.34	self-BLEU: 25.65	iBLEU: 5.14	unc: 3.26
BLEU: 18.35	self-BLEU: 25.69	iBLEU: 5.14	unc: 3.23
BLEU: 18.37	self-BLEU: 25.63	iBLEU: 5.17	unc: 3.18
BLEU: 18.38	self-BLEU: 25.63	iBLEU: 5.17	unc: 3.19
BLEU: 18.38	self-BLEU: 25.65	iBLEU: 5.17	unc: 3.19
BLEU: 18.39	self-BLEU: 25.68	iBLEU: 5.17	unc: 3.21
BLEU: 18.38	self-BLEU: 25.61	iBLEU: 5.18	unc: 3.10
BLEU: 18.38	self-BLEU: 25.69	iBLEU: 5.16	unc: 3.22
BLEU: 18.38	self-BLEU: 25.65	iBLEU: 5.17	unc: 3.17
BLEU: 18.39	self-BLEU: 25.63	iBLEU: 5.18	unc: 3.15
BLEU: 18.38	self-BLEU: 25.66	iBLEU: 5.17	unc: 3.21
BLEU: 18.38	self-BLEU: 25.67	iBLEU: 5.16	unc: 3.23
BLEU: 18.40	self-BLEU: 25.68	iBLEU: 5.17	unc: 3.22
